Master Category,Subcategory,Article Type
Apparel,Topwear,Shirts
Apparel,Topwear,Tshirts
Apparel,Topwear,Tops
Apparel,Topwear,Sweatshirts
Apparel,Topwear,Kurtas
Apparel,Topwear,Waistcoat
Apparel,Topwear,Rain Jacket
Apparel,Topwear,Blazers
Apparel,Topwear,Shrug
Apparel,Topwear,Dupatta
Apparel,Topwear,Tunics
Apparel,Topwear,Jackets
Apparel,Topwear,Sweaters
Apparel,Topwear,Kurtis
Apparel,Topwear,Suspenders
Apparel,Topwear,Nehru Jackets
Apparel,Topwear,Rompers
Apparel,Topwear,Dresses
Apparel,Topwear,Lehenga Choli
Apparel,Topwear,Belts
Apparel,Topwear,Suits
Apparel,Bottomwear,Jeans
Apparel,Bottomwear,Track Pants
Apparel,Bottomwear,Shorts
Apparel,Bottomwear,Skirts
Apparel,Bottomwear,Trousers
Apparel,Bottomwear,Capris
Apparel,Bottomwear,Tracksuits
Apparel,Bottomwear,Swimwear
Apparel,Bottomwear,Leggings
Apparel,Bottomwear,Salwar and Dupatta
Apparel,Bottomwear,Patiala
Apparel,Bottomwear,Stockings
Apparel,Bottomwear,Tights
Apparel,Bottomwear,Churidar
Apparel,Bottomwear,Salwar
Apparel,Bottomwear,Jeggings
Apparel,Bottomwear,Rain Trousers
Apparel,Innerwear,Bra
Apparel,Innerwear,Briefs
Apparel,Innerwear,Innerwear Vests
Apparel,Innerwear,Camisoles
Apparel,Innerwear,Boxers
Apparel,Innerwear,Trunk
Apparel,Innerwear,Shapewear
Apparel,Saree,Sarees
Apparel,Dress,Dresses
Apparel,Dress,Jumpsuit
Apparel,Loungewear and Nightwear,Night suits
Apparel,Loungewear and Nightwear,Bath Robe
Apparel,Loungewear and Nightwear,Lounge Pants
Apparel,Loungewear and Nightwear,Nightdress
Apparel,Loungewear and Nightwear,Baby Dolls
Apparel,Loungewear and Nightwear,Robe
Apparel,Loungewear and Nightwear,Lounge Tshirts
Apparel,Loungewear and Nightwear,Lounge Shorts
Apparel,Loungewear and Nightwear,Shorts
Apparel,Apparel Set,Kurta Sets
Apparel,Apparel Set,Clothing Set
Apparel,Apparel Set,Swimwear
Apparel,Socks,Socks
Apparel,Socks,Booties
Accessories,Watches,Watches
Accessories,Socks,Socks
Accessories,Belts,Belts
Accessories,Belts,Tshirts
Accessories,Bags,Handbags
Accessories,Bags,Laptop Bag
Accessories,Bags,Clutches
Accessories,Bags,Backpacks
Accessories,Bags,Duffel Bag
Accessories,Bags,Trolley Bag
Accessories,Bags,Mobile Pouch
Accessories,Bags,Messenger Bag
Accessories,Bags,Tablet Sleeve
Accessories,Bags,Wallets
Accessories,Bags,Waist Pouch
Accessories,Bags,Rucksacks
Accessories,Bags,Travel Accessory
